Index	Name	BirthYear	DescriptionText
1	John F. Kennedy	1917	Stable and enduring, defined by strong values and an unyielding, earthy nature with acquisitive tendencies and powerful desires. At times, may be perceived as rigid, stubborn, overly possessive, or self-indulgent. Agile, versatile, and inquisitive, characterized by a fluid and conversational style with many ideas. Can exhibit volatility, superficiality, inconsistency, and restlessness. Nurturing, protective, and tenacious, with pronounced emotional sensitivity and deeply rooted foundations. At times, may be overly protective, reluctant to let go, timid, or reclusive. Experiences difficulty becoming motivated to achieve personal goals. At times, self-confidence is insufficient even to set these goals, and a general lack of enthusiasm coupled with feeling overwhelmed by change is common. Exhibits a practical and efficient, hands-on approach with a dependable common-sense method applied to most matters. A down-to-earth demeanor proves advantageous for daily tasks, though a stubborn reluctance to embrace change can sometimes stifle both personal and others’ enthusiasm. Displays objectivity and philosophical insight, favoring an intellectual perspective in approaching life. The rational mind consistently outweighs emotional considerations, which are viewed as less reliable. Possesses a strong sense of fairness and logical thought, though there is a tendency to consider emotions in a disparaging light. Seeks relationships from an objective standpoint rather than a personal one and values public engagement alongside contributing to society. Interactions with others assume a paramount role, with significant value placed on both personal relationships and broader social connections. Possesses a natural aptitude for mediation, informed by an understanding of the nuances inherent in relationships. The greatest insights into personal identity are often gained through these relational contexts. Care should be taken to avoid becoming entangled in stifling relationships. Public life is regarded as the pinnacle of achievement, with personal satisfaction derived from notable accomplishments and ongoing contributions in the public arena. A high public profile may be attained through career success and social status, though it is essential that such accomplishments do not come at the expense of personal relationships. Reveals a strong connection between emotion and physical well-being coupled with a desire for perfection and order. Under stress, occasional health challenges may emerge. Exhibits curiosity, adaptability, and a versatile nature, maintaining high levels of engagement through lively communication and multiple interests. Often infuses situations with dynamic energy—even if this occasionally leads to disorganization. Values traditional knowledge and adopts a methodical, hands-on approach to learning. Prefers established ideas, approaching new information with caution. Values intellectual stimulation and engaging, flirtatious exchanges in relationships. Communication is essential, though a restless nature may drive frequent shifts in interest. Pursues personal desires with determination and methodical persistence. Follows a reliable course of action and can exhibit stubbornness when challenged. Pursues truth persistently while demonstrating loyalty and wisdom. Exhibits a robust desire for both material and experiential abundance. May tend toward emotional inhibition and shyness while still committing seriously to personal and familial responsibilities. Encourages brilliant, inventive breakthroughs that contribute unique insights to collective progress. Infuses creativity with spirituality, manifesting dramatic artistic expression and an appreciation for aesthetics. Represents the upheaval and reformation of familiar systems, prompting new social concepts and security structures. A courteous and thoughtful approach to life is combined with a strong focus on interpersonal relationships. Fairness, justice, and the cultivation of harmonious connections—whether personal or professional—play a central role in defining purpose. A career providing emotional security and opportunities to care for others is central, with strong feelings about public stature and a need for a nurturing work environment.
2	Walt Disney	1901	Disciplined, responsible, and reliable, displaying industrious, conscientious, and practical traits that foster achievement. Nonetheless, tendencies toward pessimism, conventionality, rigidity, materialism, or callousness may be evident. Exhibits a practical and efficient, hands-on approach with a dependable common-sense method applied to most matters. A down-to-earth demeanor proves advantageous for daily tasks, though a stubborn reluctance to embrace change can sometimes stifle both personal and others’ enthusiasm. Emotional balance appears disrupted. The idea of exhibiting overt emotional responses, such as tearfulness or loss of composure, is highly discomforting. Compassion in interpersonal relationships may be insufficient, indicating a need to honor both personal feelings and those of others. Tends to flit from one pursuit to another, finding it challenging to settle down. Although change is welcomed, the stability needed to see projects through to completion is lacking. Perceives independence and the ability to organize personal life, although self-centered tendencies may occasionally arise. Significant factors in this quadrant highlight the areas designated for self-expression. Receptive to others and sensitive to the subtle dynamics inherent in interpersonal relationships. Personal identity and resources form the basis for all further success. A robust sense of internal security is deemed essential prior to engaging with broader society. Family roots and the home environment establish foundational support for self-discovery and personal growth, which are vital for future achievement. It is important to avoid becoming overly insular. Prioritizes harmony and peaceful surroundings, consistently seeking balance, especially during stressful times. Displays optimism, enthusiasm, and a love for adventure and exploration—be it through travel or intellectual pursuits. Constantly driven by fresh ideas and a desire for continuous growth, this disposition pursues new goals with vigor. Possesses a resourceful and penetrating intellect, delving deep into subjects rather than settling for superficial explanations. Communicative exchanges are often intense and thorough. Exhibits a reserved but enduring approach to relationships, building strong commitments gradually. Demonstrates responsibility and stability, particularly in managing resources. Approaches personal ambitions in a responsible and methodical fashion, demonstrating strong determination and occasionally assertiveness in defense of goals. Demonstrates integrity by adhering to traditional values and working diligently toward professional success and recognition. Maintains a conservative, disciplined mindset, marked by strong ambitions and a high degree of responsibility. Inspires visionary ideas and novel philosophical perspectives, fostering a forward-thinking approach to cultural and ethical matters. Expresses spirituality with emotional depth and nurturing sensitivity, holding spiritual beliefs close to the heart. Embodies breakthrough shifts in communication and knowledge, fostering periods of innovative discovery. A quiet, reserved, and methodical nature is displayed, with an emphasis on precision, order, and careful planning. While ambition may not be prominent, a persistent focus on efficiency, organization, and intellectual pursuits is evident. A dynamic career marked by constant stimulation and active communication is preferred, with public recognition often tied to intellectual achievements and rapid exchange of ideas.
3	Steve Jobs	1955	Initiating, pioneering energy. Independent, bold, courageous, assertive, fiery, inspirational, direct, decisive. Can be egotistical, impulsive, impatient, aggressive, and lack subtlety. Tends to flit from one pursuit to another, finding it challenging to settle down. Although change is welcomed, the stability needed to see projects through to completion is lacking. Receptive to others and sensitive to the subtle dynamics inherent in interpersonal relationships. Interactions with others assume a paramount role, with significant value placed on both personal relationships and broader social connections. Possesses a natural aptitude for mediation, informed by an understanding of the nuances inherent in relationships. The greatest insights into personal identity are often gained through these relational contexts. Care should be taken to avoid becoming entangled in stifling relationships. Displays an emotional need for action and independence. Under stress, tends to seek challenges and solitary comfort. Demonstrates a go-getter attitude. Exemplifies imagination, serenity, and creative sensitivity. Requires regular outlets for artistic expression and reflective time; intuitive and gentle, this personality gravitates toward dreamy, idealistic environments. Demonstrates originality and inventiveness in thought, showing a passion for exchanging novel ideas. Displays a readiness to challenge traditional viewpoints. Exhibits a reserved but enduring approach to relationships, building strong commitments gradually. Demonstrates responsibility and stability, particularly in managing resources. Displays a powerful drive to initiate and engage in activities, marked by spontaneity and risk-taking. May occasionally react aggressively when hindered. Exhibits a nurturing disposition balanced by idealism, extending caring concern to close relationships and personal connections. Exemplifies intense dedication to collaborative efforts, combining resourcefulness with determination in work-related endeavors. Infuses ideas with emotional depth, prompting transformative shifts in interpersonal and nurturing communication. Views relationships through a spiritual and balanced lens, striving for harmony, justice, and deeper interpersonal understanding. Exemplifies dynamic expressions of power and influence, affecting leadership roles and creative dominance. A quiet, reserved, and methodical nature is displayed, with an emphasis on precision, order, and careful planning. While ambition may not be prominent, a persistent focus on efficiency, organization, and intellectual pursuits is evident. A dynamic career marked by constant stimulation and active communication is preferred, with public recognition often tied to intellectual achievements and rapid exchange of ideas.
4	Pelé	1940	Agile, versatile, and inquisitive, characterized by a fluid and conversational style with many ideas. Can exhibit volatility, superficiality, inconsistency, and restlessness. Meticulous, discriminating, and practical, marked by a focus on health and hard work. Can sometimes be hypercritical, petty, or perfectionistic. Even-handed, harmonious, and artistic, with a diplomatic manner and a strong sense of fairness. May at times be overcompromising, excessively appeasing, or judgmental. Experiences difficulty becoming motivated to achieve personal goals. At times, self-confidence is insufficient even to set these goals, and a general lack of enthusiasm coupled with feeling overwhelmed by change is common. Displays objectivity and philosophical insight, favoring an intellectual perspective in approaching life. The rational mind consistently outweighs emotional considerations, which are viewed as less reliable. Possesses a strong sense of fairness and logical thought, though there is a tendency to consider emotions in a disparaging light. Emotional balance appears disrupted. The idea of exhibiting overt emotional responses, such as tearfulness or loss of composure, is highly discomforting. Compassion in interpersonal relationships may be insufficient, indicating a need to honor both personal feelings and those of others. May engage in procrastination and expects others to exhibit flexibility comparable to personal tendencies. Perceives independence and the ability to organize personal life, although self-centered tendencies may occasionally arise. Significant factors in this quadrant highlight the areas designated for self-expression. Exhibits a self-motivated, self-oriented nature characterized by independently mapping out life and following an individual path, encountering difficulties only when impeded by external forces. Values independence and enjoys solitary pursuits as well as the company of others, provided ample freedom is maintained. Caution is advised against egocentric and selfish behavior. Demonstrates a basic need for mental stimulation and is naturally curious. Exhibits a communicative and chatty disposition while actively seeking new information. Strives for peace, balance, and harmony in all aspects of life, particularly within personal relationships. Diplomatic and fair-minded, this personality often takes on a mediating role and maintains an appreciation for artistic beauty. Possesses a resourceful and penetrating intellect, delving deep into subjects rather than settling for superficial explanations. Communicative exchanges are often intense and thorough. Seeks relationships built upon practicality and mutual reliability. Prefers partners who are orderly and precise, enjoying detailed, analytical conversations. Values harmony in action, combining a strong desire for justice with creative impulses, although situational indecision can emerge under pressure. Pursues truth persistently while demonstrating loyalty and wisdom. Exhibits a robust desire for both material and experiential abundance. Works methodically and persistently, demonstrating practical management skills and steady progress. Exemplifies tenacity in pursuing novel societal approaches, particularly in managing tangible resources and practical innovation. Integrates spiritual insights into daily routines with an emphasis on health, order, and systematic approaches to the mystical. Exemplifies dynamic expressions of power and influence, affecting leadership roles and creative dominance. A quiet, reserved, and methodical nature is displayed, with an emphasis on precision, order, and careful planning. While ambition may not be prominent, a persistent focus on efficiency, organization, and intellectual pursuits is evident. A dynamic career marked by constant stimulation and active communication is preferred, with public recognition often tied to intellectual achievements and rapid exchange of ideas.
5	Linus Pauling	1901	Compassionate, sensitive, self-sacrificing, gentle, and intuitive. Yet, escapism, impracticality, hypersensitivity, or gullibility may sometimes occur. Communicates from the heart while demonstrating compassion and care through a strong intuitive nature. Personal relationships are highly valued, often resulting in the adoption of a caretaker role. This sympathetic and understanding nature, reminiscent of a maternal role, is counterbalanced by difficulty in maintaining objectivity, occasionally leading to impulsive reactions without prior reflection. Receptive to others and sensitive to the subtle dynamics inherent in interpersonal relationships. Interactions with others assume a paramount role, with significant value placed on both personal relationships and broader social connections. Possesses a natural aptitude for mediation, informed by an understanding of the nuances inherent in relationships. The greatest insights into personal identity are often gained through these relational contexts. Care should be taken to avoid becoming entangled in stifling relationships. Displays a need for nurturing and comfort, tending to withdraw to secure, familiar surroundings under stress. Sometimes finds it challenging to break free from established comfort zones. Exemplifies imagination, serenity, and creative sensitivity. Requires regular outlets for artistic expression and reflective time; intuitive and gentle, this personality gravitates toward dreamy, idealistic environments. Exhibits strong intuitive sensibilities and a vivid imagination. Often perceives subtle nuances in communication, though may sometimes blur the borders between reality and fantasy. Values unconventional, freedom-based partnerships that allow for strong individual expression. Enjoys intellectual connections and thrives in group social settings. Pursues objectives in a practical, methodical manner and may adopt a critical approach when facing opposition. Demonstrates integrity by adhering to traditional values and working diligently toward professional success and recognition. Maintains a conservative, disciplined mindset, marked by strong ambitions and a high degree of responsibility. Inspires visionary ideas and novel philosophical perspectives, fostering a forward-thinking approach to cultural and ethical matters. Embodies intuitive communication and compassionate teaching, emphasizing the sharing of spiritual insights. Embodies breakthrough shifts in communication and knowledge, fostering periods of innovative discovery. A courteous and thoughtful approach to life is combined with a strong focus on interpersonal relationships. Fairness, justice, and the cultivation of harmonious connections—whether personal or professional—play a central role in defining purpose. Professional pursuits are closely linked with personal pride and a desire to shine in the public sphere. Leadership, power, and strong organizational skills drive success in visible roles.
6	Orson Welles	1915	Initiating, pioneering energy. Independent, bold, courageous, assertive, fiery, inspirational, direct, decisive. Can be egotistical, impulsive, impatient, aggressive, and lack subtlety. Stable and enduring, defined by strong values and an unyielding, earthy nature with acquisitive tendencies and powerful desires. At times, may be perceived as rigid, stubborn, overly possessive, or self-indulgent. Agile, versatile, and inquisitive, characterized by a fluid and conversational style with many ideas. Can exhibit volatility, superficiality, inconsistency, and restlessness. Humanitarian and innovative with a strong group orientation and progressive drive to serve others. In some cases, rebellious, eccentric, aloof, emotionally superficial, or overly extroverted behaviors may appear. Displays objectivity and philosophical insight, favoring an intellectual perspective in approaching life. The rational mind consistently outweighs emotional considerations, which are viewed as less reliable. Possesses a strong sense of fairness and logical thought, though there is a tendency to consider emotions in a disparaging light. Emotional balance appears disrupted. The idea of exhibiting overt emotional responses, such as tearfulness or loss of composure, is highly discomforting. Compassion in interpersonal relationships may be insufficient, indicating a need to honor both personal feelings and those of others. Exhibits a marked aversion to change, while expecting others to demonstrate a similar reliability. Strives to make a distinct mark on the world. While this ambition can be beneficial, an overemphasis on idealistic pursuits may become disruptive. Exhibits a self-motivated, self-oriented nature characterized by independently mapping out life and following an individual path, encountering difficulties only when impeded by external forces. Values independence and enjoys solitary pursuits as well as the company of others, provided ample freedom is maintained. Caution is advised against egocentric and selfish behavior. Public life is regarded as the pinnacle of achievement, with personal satisfaction derived from notable accomplishments and ongoing contributions in the public arena. A high public profile may be attained through career success and social status, though it is essential that such accomplishments do not come at the expense of personal relationships. Values intellectual engagement over emotional expression and sometimes displays emotional detachment or skepticism regarding unpredictability. Is reliable and practical, with a deep need for stability and routine. Approaches life methodically, favoring secure and familiar pathways. Provides a stabilizing influence for others while also appreciating sensory pleasures and tangible comforts. Values traditional knowledge and adopts a methodical, hands-on approach to learning. Prefers established ideas, approaching new information with caution. Approaches relationships with assertiveness and passion, pursuing partners energetically while maintaining a desire for independence. Tends to take the initiative and can be impulsive in matters of finance. Displays a powerful drive to initiate and engage in activities, marked by spontaneity and risk-taking. May occasionally react aggressively when hindered. Displays an intuitive pursuit of truth and a compassionate advocacy for the underdog, often assuming an inspirational teaching role. Is disciplined and logical, organizing details effectively and preferring clear, direct communication. Encourages brilliant, inventive breakthroughs that contribute unique insights to collective progress. Expresses spirituality with emotional depth and nurturing sensitivity, holding spiritual beliefs close to the heart. Represents the upheaval and reformation of familiar systems, prompting new social concepts and security structures. Versatility, adaptability, and a dynamic exchange of ideas define this approach to life. There is a strong emphasis on intellectual stimulation and communication, supported by an innate restlessness that fuels continuous learning and the pursuit of varied interests. Ingenuity and originality shape career choices, with a tendency toward unconventional professional roles. A strong desire to make a positive contribution to society may result in career changes over time.
7	Marlon Brando	1924	Initiating, pioneering energy. Independent, bold, courageous, assertive, fiery, inspirational, direct, decisive. Can be egotistical, impulsive, impatient, aggressive, and lack subtlety. Inspiring, with a broad vision, enthusiasm, and goal-seeking drive. Truthfulness and adventurousness define the approach; however, recklessness, lack of restraint, or tactlessness may also emerge. Highly motivated with many goals and aspirations for the future. Vital and spontaneous, this disposition often embraces the challenge of exploring new, adventurous paths. Enthusiasm is irrepressible, although there is a tendency to exaggerate and a difficulty in coping with routine tasks. Tends to lack objectivity—the ability to maintain a detached and rational perspective. Decision-making is challenging, with difficulties logically weighing the pros and cons. Emotional balance appears disrupted. The idea of exhibiting overt emotional responses, such as tearfulness or loss of composure, is highly discomforting. Compassion in interpersonal relationships may be insufficient, indicating a need to honor both personal feelings and those of others. Enjoys challenge and action, becoming frustrated when no avenue for change exists. Expects others to rise to challenges as well. Tends to flit from one pursuit to another, finding it challenging to settle down. Although change is welcomed, the stability needed to see projects through to completion is lacking. Receptive to others and sensitive to the subtle dynamics inherent in interpersonal relationships. Interactions with others assume a paramount role, with significant value placed on both personal relationships and broader social connections. Possesses a natural aptitude for mediation, informed by an understanding of the nuances inherent in relationships. The greatest insights into personal identity are often gained through these relational contexts. Care should be taken to avoid becoming entangled in stifling relationships. Personal identity and resources form the basis for all further success. A robust sense of internal security is deemed essential prior to engaging with broader society. Family roots and the home environment establish foundational support for self-discovery and personal growth, which are vital for future achievement. It is important to avoid becoming overly insular. Displays an emotional need for action and independence. Under stress, tends to seek challenges and solitary comfort. Demonstrates a go-getter attitude. Demonstrates assertiveness, independence, and a strong drive to initiate action. Approaches challenges directly and naturally assumes leadership while balancing personal objectives with sensitivity to others. Exhibits independent thinking and rapid communication. Innovates quickly and occasionally benefits from flashes of intuitive insight. Prioritizes romance and reliability, approaching relationships with a steady, deliberate pace that values stability and sensual pleasure. Financial prudence and comfort are key concerns. Approaches personal ambitions in a responsible and methodical fashion, demonstrating strong determination and occasionally assertiveness in defense of goals. Embraces adventure, philosophy, and cultural exploration with enthusiasm, and naturally inspires through the pursuit of expansive learning. Exemplifies intense dedication to collaborative efforts, combining resourcefulness with determination in work-related endeavors. Promotes exploration of the unconscious and intuitive realms, leading to profound insights and creative breakthroughs. Infuses creativity with spirituality, manifesting dramatic artistic expression and an appreciation for aesthetics. Represents the upheaval and reformation of familiar systems, prompting new social concepts and security structures. An open-minded, adventurous spirit is apparent, characterized by honesty, idealism, and a zest for constant discovery. A love for travel and a deep thirst for knowledge underpin life’s adventures, with irrepressible enthusiasm often inspiring others. A methodical, precise, and hardworking approach underpins professional life, with a focus on order, clarity, and high standards leading to recognition for detailed and exacting work.
8	David Bowie	1947	Self-confident, generous, and warm-hearted, with strong leadership qualities and a dramatic presence. May occasionally appear overly proud, vain, extravagant, or arrogant. Inspiring, with a broad vision, enthusiasm, and goal-seeking drive. Truthfulness and adventurousness define the approach; however, recklessness, lack of restraint, or tactlessness may also emerge. Disciplined, responsible, and reliable, displaying industrious, conscientious, and practical traits that foster achievement. Nonetheless, tendencies toward pessimism, conventionality, rigidity, materialism, or callousness may be evident. Highly motivated with many goals and aspirations for the future. Vital and spontaneous, this disposition often embraces the challenge of exploring new, adventurous paths. Enthusiasm is irrepressible, although there is a tendency to exaggerate and a difficulty in coping with routine tasks. Emotional balance appears disrupted. The idea of exhibiting overt emotional responses, such as tearfulness or loss of composure, is highly discomforting. Compassion in interpersonal relationships may be insufficient, indicating a need to honor both personal feelings and those of others. Seeks relationships from an objective standpoint rather than a personal one and values public engagement alongside contributing to society. Strives to make a distinct mark on the world. While this ambition can be beneficial, an overemphasis on idealistic pursuits may become disruptive. Public life is regarded as the pinnacle of achievement, with personal satisfaction derived from notable accomplishments and ongoing contributions in the public arena. A high public profile may be attained through career success and social status, though it is essential that such accomplishments do not come at the expense of personal relationships. Enjoys being the centre of attention in close relationships. Exhibits a playful, engaging demeanor capable of uniting others and lightening tense situations. Is serious, responsible, and methodical in pursuit of goals. Valued for reliability and a calm, steady presence during crises, this temperament is both ambitious and disciplined in achieving long-term success. Is recognized for a wise, cautious mindset that prioritizes credibility and authoritative knowledge. New ideas are approached with deliberate care. Favors adventurous, exploratory relationships, eagerly sharing new ideas and diverse cultural experiences. Enjoys dynamic, expansive partnerships. Approaches personal ambitions in a responsible and methodical fashion, demonstrating strong determination and occasionally assertiveness in defense of goals. Exhibits an intense, transformative quest for truth that is matched by a deep desire for profound connections and collaborative achievements. Takes pride in work and builds personal authority, consistently striving for recognition and leadership. Encourages inventive communication and networking, inspiring original ideas and fresh methods of information exchange. Views relationships through a spiritual and balanced lens, striving for harmony, justice, and deeper interpersonal understanding. Exemplifies dynamic expressions of power and influence, affecting leadership roles and creative dominance. An unconventional and original outlook is combined with strong group associations and a commitment to humanitarian causes. Independence, objectivity, and a talent for discerning character are evident, while learning to assert oneself remains an important development. An enthusiastic, adventurous career path is embraced, often accompanied by a desire for public recognition and international or cross-cultural connections.
9	Stephen Sondheim	1930	Initiating, pioneering energy. Independent, bold, courageous, assertive, fiery, inspirational, direct, decisive. Can be egotistical, impulsive, impatient, aggressive, and lack subtlety. Disciplined, responsible, and reliable, displaying industrious, conscientious, and practical traits that foster achievement. Nonetheless, tendencies toward pessimism, conventionality, rigidity, materialism, or callousness may be evident. Compassionate, sensitive, self-sacrificing, gentle, and intuitive. Yet, escapism, impracticality, hypersensitivity, or gullibility may sometimes occur. Highly motivated with many goals and aspirations for the future. Vital and spontaneous, this disposition often embraces the challenge of exploring new, adventurous paths. Enthusiasm is irrepressible, although there is a tendency to exaggerate and a difficulty in coping with routine tasks. Tends to lack objectivity—the ability to maintain a detached and rational perspective. Decision-making is challenging, with difficulties logically weighing the pros and cons. Receptive to others and sensitive to the subtle dynamics inherent in interpersonal relationships. Interactions with others assume a paramount role, with significant value placed on both personal relationships and broader social connections. Possesses a natural aptitude for mediation, informed by an understanding of the nuances inherent in relationships. The greatest insights into personal identity are often gained through these relational contexts. Care should be taken to avoid becoming entangled in stifling relationships. Personal identity and resources form the basis for all further success. A robust sense of internal security is deemed essential prior to engaging with broader society. Family roots and the home environment establish foundational support for self-discovery and personal growth, which are vital for future achievement. It is important to avoid becoming overly insular. Finds security in structured environments and purposeful work. May exhibit emotional reserve or detachment when under pressure. Demonstrates assertiveness, independence, and a strong drive to initiate action. Approaches challenges directly and naturally assumes leadership while balancing personal objectives with sensitivity to others. Exhibits strong intuitive sensibilities and a vivid imagination. Often perceives subtle nuances in communication, though may sometimes blur the borders between reality and fantasy. Approaches relationships with assertiveness and passion, pursuing partners energetically while maintaining a desire for independence. Tends to take the initiative and can be impulsive in matters of finance. Channels a strong drive for spiritual exploration and is guided by deep, subconscious sensitivity. Intuition plays a central role, though there can be a tendency to adopt a withdrawn stance in threatening situations. Values the continuous exchange of information and demonstrates versatility in both learning and teaching methods. Maintains a conservative, disciplined mindset, marked by strong ambitions and a high degree of responsibility. Embodies initiative and spontaneity, catalyzing the breakdown of outdated structures in favor of innovative new ideas. Integrates spiritual insights into daily routines with an emphasis on health, order, and systematic approaches to the mystical. Represents the upheaval and reformation of familiar systems, prompting new social concepts and security structures. A reserved and perceptive demeanor is marked by shrewdness and strong willpower. There is an ability to navigate complex emotional and public challenges with resourcefulness, with integrity serving as the keystone for achieving lasting goals. Professional pursuits are closely linked with personal pride and a desire to shine in the public sphere. Leadership, power, and strong organizational skills drive success in visible roles.
10	Miles Davis	1926	Agile, versatile, and inquisitive, characterized by a fluid and conversational style with many ideas. Can exhibit volatility, superficiality, inconsistency, and restlessness. Intense and magnetic, possessing a penetrating perception and the capacity to confront challenges head on. Can display destructive tendencies, vengefulness, jealousy, or excessive drama. Humanitarian and innovative with a strong group orientation and progressive drive to serve others. In some cases, rebellious, eccentric, aloof, emotionally superficial, or overly extroverted behaviors may appear. Experiences difficulty becoming motivated to achieve personal goals. At times, self-confidence is insufficient even to set these goals, and a general lack of enthusiasm coupled with feeling overwhelmed by change is common. Faces challenges in coping with the realities of everyday life. Routine daily chores may appear overwhelming, accompanied by difficulties in concentrating on immediate matters. Displays objectivity and philosophical insight, favoring an intellectual perspective in approaching life. The rational mind consistently outweighs emotional considerations, which are viewed as less reliable. Possesses a strong sense of fairness and logical thought, though there is a tendency to consider emotions in a disparaging light. Prefers to follow in others’ footsteps rather than initiate actions. Can be relied on to produce results as long as initial ideas are provided by others. Survival mechanisms are weak. Exhibits a marked aversion to change, while expecting others to demonstrate a similar reliability. Strives to make a distinct mark on the world. While this ambition can be beneficial, an overemphasis on idealistic pursuits may become disruptive. Exhibits a self-motivated, self-oriented nature characterized by independently mapping out life and following an individual path, encountering difficulties only when impeded by external forces. Values independence and enjoys solitary pursuits as well as the company of others, provided ample freedom is maintained. Caution is advised against egocentric and selfish behavior. Public life is regarded as the pinnacle of achievement, with personal satisfaction derived from notable accomplishments and ongoing contributions in the public arena. A high public profile may be attained through career success and social status, though it is essential that such accomplishments do not come at the expense of personal relationships. Exhibits intense emotional depth and a strong need for profound experiences. Under stress, tends to generate or attract dramatic situations. Exhibits curiosity, adaptability, and a versatile nature, maintaining high levels of engagement through lively communication and multiple interests. Often infuses situations with dynamic energy—even if this occasionally leads to disorganization. Values traditional knowledge and adopts a methodical, hands-on approach to learning. Prefers established ideas, approaching new information with caution. Approaches relationships with assertiveness and passion, pursuing partners energetically while maintaining a desire for independence. Tends to take the initiative and can be impulsive in matters of finance. Channels a strong drive for spiritual exploration and is guided by deep, subconscious sensitivity. Intuition plays a central role, though there can be a tendency to adopt a withdrawn stance in threatening situations. Championing innovative ideas and inclusivity, exhibits a forward-thinking and humanitarian spirit. Exemplifies intense dedication to collaborative efforts, combining resourcefulness with determination in work-related endeavors. Promotes exploration of the unconscious and intuitive realms, leading to profound insights and creative breakthroughs. Infuses creativity with spirituality, manifesting dramatic artistic expression and an appreciation for aesthetics. Represents the upheaval and reformation of familiar systems, prompting new social concepts and security structures. Versatility, adaptability, and a dynamic exchange of ideas define this approach to life. There is a strong emphasis on intellectual stimulation and communication, supported by an innate restlessness that fuels continuous learning and the pursuit of varied interests. Ingenuity and originality shape career choices, with a tendency toward unconventional professional roles. A strong desire to make a positive contribution to society may result in career changes over time.
